Typhoon (Severe Typhoon),SALLY,3,17:00,8-Sep-96,2:15,9-Sep-96,09 15
Typhoon (Severe Typhoon),SALLY,8 SE,2:15,9-Sep-96,5:40,9-Sep-96,03 25
Typhoon (Severe Typhoon),SALLY,3,5:40,9-Sep-96,10:15,9-Sep-96,04 35
Severe Tropical Storm,WILLIE,1,23:15,18-Sep-96,9:00,20-Sep-96,33 45
Typhoon,BETH,1,11:45,19-Oct-96,14:00,20-Oct-96,26 15
Typhoon,VICTOR,1,14:00,31-Jul-97,10:00,1-Aug-97,20 00
Typhoon,VICTOR,3,10:00,1-Aug-97,12:00,2-Aug-97,26 00
Typhoon,VICTOR,8 NE,12:00,2-Aug-97,16:50,2-Aug-97,04 50
Typhoon,VICTOR,9,16:50,2-Aug-97,23:40,2-Aug-97,06 50
Typhoon,VICTOR,8 SW,23:40,2-Aug-97,3:30,3-Aug-97,03 50
Typhoon,VICTOR,3,3:30,3-Aug-97,4:45,3-Aug-97,01 15
Typhoon,ZITA,1,23:00,20-Aug-97,11:45,21-Aug-97,12 45
Typhoon,ZITA,3,11:45,21-Aug-97,9:45,22-Aug-97,22 00
Severe Tropical Storm,PENNY,1,6:35,9-Aug-98,22:45,9-Aug-98,16 10
Severe Tropical Storm,PENNY,3,22:45,9-Aug-98,19:45,10-Aug-98,21 00
Tropical Depression,no name,1,23:55,21-Aug-98,21:45,22-Aug-98,21 50
Tropical Depression,no name,1,6:15,12-Sep-98,16:30,13-Sep-98,34 15
Typhoon (Super Typhoon),ZEB,1,5:45,15-Oct-98,5:50,16-Oct-98,24 05
Typhoon (Severe Typhoon),BABS,1,22:15,23-Oct-98,23:40,24-Oct-98,25 25
Typhoon (Severe Typhoon),BABS,3,23:40,24-Oct-98,21:30,26-Oct-98,45 50
Typhoon,LEO,1,9:40,29-Apr-99,16:15,30-Apr-99,30 35
Typhoon,LEO,3,16:15,30-Apr-99,13:30,2-May-99,45 15
Typhoon,LEO,8 NE,13:30,2-May-99,17:30,2-May-99,04 00
Typhoon,LEO,3,17:30,2-May-99,20:45,2-May-99,03 15
Typhoon,MAGGIE,1,23:45,5-Jun-99,14:15,6-Jun-99,14 30
Typhoon,MAGGIE,3,14:15,6-Jun-99,0:30,7-Jun-99,10 15
Typhoon,MAGGIE,8 NW,0:30,7-Jun-99,2:45,7-Jun-99,02 15
Typhoon,MAGGIE,9,2:45,7-Jun-99,5:45,7-Jun-99,03 00
Typhoon,MAGGIE,8 NE,5:45,7-Jun-99,10:30,7-Jun-99,04 45
Typhoon,MAGGIE,3,10:30,7-Jun-99,14:45,7-Jun-99,04 15
Typhoon,MAGGIE,1,22:30,7-Jun-99,0:45,8-Jun-99,02 15
Typhoon,MAGGIE,3,0:45,8-Jun-99,13:45,8-Jun-99,13 00
Tropical Storm,no name,1,11:45,25-Jul-99,22:45,26-Jul-99,35 00
Tropical Storm,no name,3,22:45,26-Jul-99,13:45,27-Jul-99,15 00
Typhoon,SAM,1,16:15,20-Aug-99,2:30,22-Aug-99,34 15
Typhoon,SAM,3,2:30,22-Aug-99,12:30,22-Aug-99,10 00
Typhoon,SAM,8 NW,12:30,22-Aug-99,20:10,22-Aug-99,07 40
Typhoon,SAM,8 SW,20:10,22-Aug-99,3:50,23-Aug-99,07 40
Typhoon,SAM,3,3:50,23-Aug-99,21:00,23-Aug-99,17 10
Tropical Storm,WENDY,1,3:45,3-Sep-99,11:20,4-Sep-99,31 35
Typhoon,YORK,1,10:45,13-Sep-99,10:15,15-Sep-99,47 30
Typhoon,YORK,3,10:15,15-Sep-99,3:15,16-Sep-99,17 00
Typhoon,YORK,8 NW,3:15,16-Sep-99,5:20,16-Sep-99,02 05
Typhoon,YORK,9,5:20,16-Sep-99,6:45,16-Sep-99,01 25
Typhoon,YORK,10,6:45,16-Sep-99,17:45,16-Sep-99,11 00
Typhoon,YORK,8 SW,17:45,16-Sep-99,22:10,16-Sep-99,04 25
Typhoon,YORK,3,22:10,16-Sep-99,0:45,17-Sep-99,02 35
Severe Tropical Storm,CAM,1,9:40,24-Sep-99,15:40,25-Sep-99,30 00
Severe Tropical Storm,CAM,3,15:40,25-Sep-99,5:20,26-Sep-99,13 40
Severe Tropical Storm,CAM,8 NW,5:20,26-Sep-99,11:20,26-Sep-99,06 00
Severe Tropical Storm,CAM,8 SW,11:20,26-Sep-99,14:10,26-Sep-99,02 50
Severe Tropical Storm,CAM,3,14:10,26-Sep-99,15:20,26-Sep-99,01 10
Typhoon,DAN,1,20:45,5-Oct-99,5:35,7-Oct-99,32 50
Typhoon,DAN,3,5:35,7-Oct-99,16:15,7-Oct-99,10 40
Typhoon,DAN,1,16:15,7-Oct-99,9:25,9-Oct-99,41 10
Tropical Depression,no name,3,21:15,18-Jun-00,1:45,19-Jun-00,04 30
Typhoon,KAI-TAK,1,15:50,6-Jul-00,5:45,9-Jul-00,61 55
Tropical Depression,no name,1,14:45,15-Jul-00,21:25,16-Jul-00,30 40
Typhoon (Super Typhoon),BILIS,1,6:00,23-Aug-00,19:15,23-Aug-00,13 15
Severe Tropical Storm,MARIA,1,23:45,27-Aug-00,14:25,29-Aug-00,38 40
Severe Tropical Storm,MARIA,1,10:15,31-Aug-00,1:30,1-Sep-00,15 15
Severe Tropical Storm,MARIA,3,1:30,1-Sep-00,13:20,1-Sep-00,11 50
Typhoon,WUKONG,1,13:45,6-Sep-00,21:45,7-Sep-00,32 00
Typhoon,WUKONG,3,21:45,7-Sep-00,5:45,9-Sep-00,32 00
Severe Tropical Storm,BEBINCA,1,14:40,4-Nov-00,7:40,8-Nov-00,89 00
Typhoon,CHEBI,1,23:25,22-Jun-01,20:25,23-Jun-01,21 00
Typhoon,DURIAN,1,7:40,30-Jun-01,22:20,30-Jun-01,14 40
Typhoon,DURIAN,3,22:20,30-Jun-01,9:20,2-Jul-01,35 00
Typhoon,UTOR,1,17:45,4-Jul-01,10:45,5-Jul-01,17 00
Typhoon,UTOR,3,10:45,5-Jul-01,19:30,5-Jul-01,08 45
Typhoon,UTOR,8 NE,19:30,5-Jul-01,23:40,5-Jul-01,04 10
Typhoon,UTOR,8 NW,23:40,5-Jul-01,9:40,6-Jul-01,10 00
Typhoon,UTOR,8 SW,9:40,6-Jul-01,13:40,6-Jul-01,04 00
